ProductKey,ProductItemCode,Product Name,Sub Category,Product Category,Product Color,Product Size,Product Line,Product Model Name,Product Description,Product Status,ProductKey,CustomerKey,SalesOrderNumber,SalesAmount,DateKey,Date,Day,WeekNumber,Month,MonthShort,MonthNumber,Quater,Year
1,AR-5381,Adjustable Race,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,353,11000,SO51522,2319.99,20190101,1/1/2019,Tuesday,1,January,Jan,1,1,2019
2,BA-8327,Bearing Ball,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,485,11000,SO51522,21.98,20190102,1/2/2019,Wednesday,1,January,Jan,1,1,2019
3,BE-2349,BB Ball Bearing,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,573,11000,SO57418,2384.07,20190103,1/3/2019,Thursday,1,January,Jan,1,1,2019
4,BE-2908,Headset Ball Bearings,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,541,11000,SO57418,28.99,20190104,1/4/2019,Friday,1,January,Jan,1,1,2019
5,BL-2036,Blade,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,530,11000,SO57418,4.99,20190105,1/5/2019,Saturday,1,January,Jan,1,1,2019
6,CA-5965,LL Crankarm,NULL,NULL,Black,NULL,NULL,NULL,NULL,Current,214,11000,SO57418,34.99,20190106,1/6/2019,Sunday,2,January,Jan,1,1,2019
7,CA-6738,ML Crankarm,NULL,NULL,Black,NULL,NULL,NULL,NULL,Current,488,11000,SO57418,53.99,20190107,1/7/2019,Monday,2,January,Jan,1,1,2019
8,CA-7457,HL Crankarm,NULL,NULL,Black,NULL,NULL,NULL,NULL,Current,353,11001,SO51493,2319.99,20190108,1/8/2019,Tuesday,2,January,Jan,1,1,2019
9,CB-2903,Chainring Bolts,NULL,NULL,Silver,NULL,NULL,NULL,NULL,Current,485,11001,SO51493,21.98,20190109,1/9/2019,Wednesday,2,January,Jan,1,1,2019
10,CN-6137,Chainring Nut,NULL,NULL,Silver,NULL,NULL,NULL,NULL,Current,477,11001,SO51493,4.99,20190110,1/10/2019,Thursday,2,January,Jan,1,1,2019
11,CR-7833,Chainring,NULL,NULL,Black,NULL,NULL,NULL,NULL,Current,478,11001,SO51493,9.99,20190111,1/11/2019,Friday,2,January,Jan,1,1,2019
12,CR-9981,Crown Race,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,491,11001,SO51493,53.99,20190112,1/12/2019,Saturday,2,January,Jan,1,1,2019
13,CS-2812,Chain Stays,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,225,11001,SO51493,8.99,20190113,1/13/2019,Sunday,3,January,Jan,1,1,2019
14,DC-8732,Decal 1,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,604,11001,SO72773,539.99,20190114,1/14/2019,Monday,3,January,Jan,1,1,2019
15,DC-9824,Decal 2,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,477,11001,SO72773,4.99,20190115,1/15/2019,Tuesday,3,January,Jan,1,1,2019
16,DT-2377,Down Tube,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,479,11001,SO72773,8.99,20190116,1/16/2019,Wednesday,3,January,Jan,1,1,2019
17,EC-M092,Mountain End Caps,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,217,11001,SO72773,34.99,20190117,1/17/2019,Thursday,3,January,Jan,1,1,2019
18,EC-R098,Road End Caps,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,359,11002,SO51238,2294.99,20190118,1/18/2019,Friday,3,January,Jan,1,1,2019
19,EC-T209,Touring End Caps,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,561,11002,SO53237,2384.07,20190119,1/19/2019,Saturday,3,January,Jan,1,1,2019
20,FE-3760,Fork End,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,222,11002,SO53237,34.99,20190120,1/20/2019,Sunday,4,January,Jan,1,1,2019
21,FH-2981,Freewheel,NULL,NULL,Silver,NULL,NULL,NULL,NULL,Current,361,11003,SO51315,2294.99,20190121,1/21/2019,Monday,4,January,Jan,1,1,2019
22,FW-1000,Flat Washer 1,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,478,11003,SO51315,9.99,20190122,1/22/2019,Tuesday,4,January,Jan,1,1,2019
23,FW-1200,Flat Washer 6,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,477,11003,SO51315,4.99,20190123,1/23/2019,Wednesday,4,January,Jan,1,1,2019
24,FW-1400,Flat Washer 2,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,225,11003,SO51315,8.99,20190124,1/24/2019,Thursday,4,January,Jan,1,1,2019
25,FW-3400,Flat Washer 9,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,564,11003,SO57783,2384.07,20190125,1/25/2019,Friday,4,January,Jan,1,1,2019
26,FW-3800,Flat Washer 4,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,541,11003,SO57783,28.99,20190126,1/26/2019,Saturday,4,January,Jan,1,1,2019
27,FW-5160,Flat Washer 3,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,530,11003,SO57783,4.99,20190127,1/27/2019,Sunday,5,January,Jan,1,1,2019
28,FW-5800,Flat Washer 8,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,480,11003,SO57783,2.29,20190128,1/28/2019,Monday,5,January,Jan,1,1,2019
29,FW-7160,Flat Washer 5,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,355,11004,SO51595,2319.99,20190129,1/29/2019,Tuesday,5,January,Jan,1,1,2019
30,FW-9160,Flat Washer 7,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,485,11004,SO51595,21.98,20190130,1/30/2019,Wednesday,5,January,Jan,1,1,2019
31,FC-3654,Fork Crown,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,214,11004,SO51595,34.99,20190131,1/31/2019,Thursday,5,January,Jan,1,1,2019
32,FC-3982,Front Derailleur Cage,NULL,NULL,Silver,NULL,NULL,NULL,NULL,Current,562,11004,SO57293,2384.07,20190201,2/1/2019,Friday,5,February,Feb,2,1,2019
33,FL-2301,Front Derailleur Linkage,NULL,NULL,Silver,NULL,NULL,NULL,NULL,Current,217,11004,SO57293,34.99,20190202,2/2/2019,Saturday,5,February,Feb,2,1,2019
34,GP-0982,Guide Pulley,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,355,11005,SO51612,2319.99,20190203,2/3/2019,Sunday,6,February,Feb,2,1,2019
35,GT-0820,LL Grip Tape,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,537,11005,SO51612,35,20190204,2/4/2019,Monday,6,February,Feb,2,1,2019
36,GT-1209,ML Grip Tape,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,528,11005,SO51612,4.99,20190205,2/5/2019,Tuesday,6,February,Feb,2,1,2019
37,GT-2908,HL Grip Tape,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,480,11005,SO51612,2.29,20190206,2/6/2019,Wednesday,6,February,Feb,2,1,2019
38,HJ-1213,Thin-Jam Hex Nut 9,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,562,11005,SO57361,2384.07,20190207,2/7/2019,Thursday,6,February,Feb,2,1,2019
39,HJ-1220,Thin-Jam Hex Nut 10,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,357,11006,SO51198,2319.99,20190208,2/8/2019,Friday,6,February,Feb,2,1,2019
40,HJ-1420,Thin-Jam Hex Nut 1,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,478,11006,SO51198,9.99,20190209,2/9/2019,Saturday,6,February,Feb,2,1,2019
41,HJ-1428,Thin-Jam Hex Nut 2,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,477,11006,SO51198,4.99,20190210,2/10/2019,Sunday,7,February,Feb,2,1,2019
42,HJ-3410,Thin-Jam Hex Nut 15,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,562,11006,SO58007,2384.07,20190211,2/11/2019,Monday,7,February,Feb,2,1,2019
